 MPG, Cylinders, Displacement, Horsepower, Weight, Acceleration, Model Year, Origin, Displacement On Horsepower, Weight On Cylinder, Acceleration On Horsepower, Acceleration On Cylinders, Fuel Efficiency,
 18.0, 8, 307.0, 130.0, 3504.0, 12.0, 70, 1, 2.3615384615384616, 438.0, 0.09230769230769231, 1.5, LOW,
 15.0, 8, 350.0, 165.0, 3693.0, 11.5, 70, 1, 2.121212121212121, 461.625, 0.0696969696969697, 1.4375, LOW,
 18.0, 8, 318.0, 150.0, 3436.0, 11.0, 70, 1, 2.12, 429.5, 0.07333333333333333, 1.375, LOW,
 16.0, 8, 304.0, 150.0, 3433.0, 12.0, 70, 1, 2.026666666666667, 429.125, 0.08, 1.5, LOW,
 17.0, 8, 302.0, 140.0, 3449.0, 10.5, 70, 1, 2.157142857142857, 431.125, 0.075, 1.3125, LOW,
 15.0, 8, 429.0, 198.0, 4341.0, 10.0, 70, 1, 2.1666666666666665, 542.625, 0.050505050505050504, 1.25, LOW,
 14.0, 8, 454.0, 102.91214470284238, 4354.0, 9.0, 70, 1, 4.411529866673362, 544.25, 0.08745323524242347, 1.125, LOW,
 14.0, 8, 440.0, 215.0, 4312.0, 8.5, 70, 1, 2.046511627906977, 539.0, 0.03953488372093023, 1.0625, LOW,
 14.0, 8, 455.0, 102.91214470284238, 4425.0, 10.0, 70, 1, 4.421246892811409, 553.125, 0.09717026138047052, 1.25, LOW,
 15.0, 8, 390.0, 190.0, 3850.0, 8.5, 70, 1, 2.0526315789473686, 481.25, 0.04473684210526316, 1.0625, LOW,
 15.0, 8, 383.0, 170.0, 3563.0, 10.0, 70, 1, 2.2529411764705882, 445.375, 0.058823529411764705, 1.25, LOW,
 14.0, 8, 340.0, 160.0, 3609.0, 8.0, 70, 1, 2.125, 451.125, 0.05, 1.0, LOW,
 15.0, 8, 400.0, 150.0, 3761.0, 9.5, 70, 1, 2.6666666666666665, 470.125, 0.06333333333333334, 1.1875, LOW,
 14.0, 8, 455.0, 102.91214470284238, 3086.0, 10.0, 70, 1, 4.421246892811409, 385.75, 0.09717026138047052, 1.25, LOW,
 24.0, 4, 113.0, 95.0, 2372.0, 15.0, 70, 3, 1.1894736842105262, 593.0, 0.15789473684210525, 3.75, LOW,
 22.0, 6, 198.0, 95.0, 2833.0, 15.5, 70, 1, 2.0842105263157893, 472.1666666666667, 0.1631578947368421, 2.5833333333333335, LOW,
 18.0, 6, 199.0, 97.0, 2774.0, 15.5, 70, 1, 2.051546391752577, 462.3333333333333, 0.15979381443298968, 2.5833333333333335, LOW,
 21.0, 6, 200.0, 85.0, 2587.0, 16.0, 70, 1, 2.3529411764705883, 431.1666666666667, 0.18823529411764706, 2.6666666666666665, LOW,
 27.0, 4, 97.0, 88.0, 2130.0, 14.5, 70, 3, 1.1022727272727273, 532.5, 0.16477272727272727, 3.625, LOW,
 26.0, 4, 97.0, 46.0, 1835.0, 20.5, 70, 2, 2.108695652173913, 458.75, 0.44565217391304346, 5.125, LOW,
 25.0, 4, 110.0, 87.0, 2672.0, 17.5, 70, 2, 1.264367816091954, 668.0, 0.20114942528735633, 4.375, LOW,
 24.0, 4, 107.0, 90.0, 2430.0, 14.5, 70, 2, 1.1888888888888889, 607.5, 0.16111111111111112, 3.625, LOW,
 25.0, 4, 104.0, 95.0, 2375.0, 17.5, 70, 2, 1.0947368421052632, 593.75, 0.18421052631578946, 4.375, LOW,
 26.0, 4, 121.0, 113.0, 2234.0, 12.5, 70, 2, 1.0707964601769913, 558.5, 0.11061946902654868, 3.125, LOW,
 21.0, 6, 199.0, 90.0, 2648.0, 15.0, 70, 1, 2.2111111111111112, 441.3333333333333, 0.16666666666666666, 2.5, LOW,
 10.0, 8, 360.0, 215.0, 4615.0, 14.0, 70, 1, 1.6744186046511629, 576.875, 0.06511627906976744, 1.75, LOW,
 10.0, 8, 307.0, 200.0, 4376.0, 15.0, 70, 1, 1.535, 547.0, 0.075, 1.875, LOW,
 11.0, 8, 318.0, 210.0, 4382.0, 13.5, 70, 1, 1.5142857142857142, 547.75, 0.06428571428571428, 1.6875, LOW,
 9.0, 8, 304.0, 193.0, 4732.0, 18.5, 70, 1, 1.5751295336787565, 591.5, 0.09585492227979274, 2.3125, LOW,
 27.0, 4, 97.0, 88.0, 2130.0, 14.5, 71, 3, 1.1022727272727273, 532.5, 0.16477272727272727, 3.625, LOW,
 28.0, 4, 140.0, 90.0, 2264.0, 15.5, 71, 1, 1.5555555555555556, 566.0, 0.17222222222222222, 3.875, LOW,
 25.0, 4, 113.0, 95.0, 2228.0, 14.0, 71, 3, 1.1894736842105262, 557.0, 0.14736842105263157, 3.5, LOW,
 25.0, 4, 98.0, 102.91214470284238, 2046.0, 19.0, 71, 1, 0.9522685615286112, 511.5, 0.184623496622894, 4.75, LOW,
 19.0, 6, 232.0, 100.0, 2634.0, 13.0, 71, 1, 2.32, 439.0, 0.13, 2.1666666666666665, LOW,
 16.0, 6, 225.0, 105.0, 3439.0, 15.5, 71, 1, 2.142857142857143, 573.1666666666666, 0.14761904761904762, 2.5833333333333335, LOW,
 17.0, 6, 250.0, 100.0, 3329.0, 15.5, 71, 1, 2.5, 554.8333333333334, 0.155, 2.5833333333333335, LOW,
